t,share,adr10,premium,f_skhx,f_skhy,price_pnl,funding_pnl,total_pnl,drawdown
1784163600000,1249.800000,1687.800000,0.350456,0.000112,-0.000029,42.500000,0.290091,42.790091,36.416832
1784167200000,1261.000000,1706.000000,0.352895,0.000134,-0.000024,35.500000,0.079901,35.579901,43.627022
1784170800000,1252.700000,1699.300000,0.356510,0.000115,-0.000024,33.900000,-0.104906,33.795094,45.411829
1784174400000,1242.200000,1681.200000,0.353405,0.000016,-0.000028,41.500000,-0.171681,41.328319,37.878604
1784178000000,1258.800000,1708.900000,0.357563,0.000073,-0.000047,30.400000,-0.343433,30.056567,49.150356
1784181600000,1250.400000,1686.600000,0.348848,0.000072,-0.000053,44.300000,-0.522800,43.777200,35.429724
1784185200000,1234.500000,1664.000000,0.347914,0.000108,-0.000043,51.000000,-0.728135,50.271865,28.935058
1784188800000,1243.000000,1662.900000,0.337812,-0.000069,-0.000033,60.600000,-0.697564,59.902436,19.304487
1784192400000,1233.700000,1652.200000,0.339223,-0.000076,-0.000031,62.000000,-0.654391,61.345609,17.861314
1784196000000,1241.000000,1656.300000,0.334649,0.000065,-0.000021,65.200000,-0.770338,64.429662,14.777262
1784199600000,1224.500000,1636.000000,0.336056,0.000048,-0.000021,69.000000,-0.863376,68.136624,11.070300
1784203200000,1210.000000,1632.200000,0.348926,-0.000152,-0.000026,58.300000,-0.721908,57.578092,21.628831
1784206800000,1228.600000,1638.400000,0.333550,-0.000361,-0.000031,70.700000,-0.329457,70.370543,8.836380
1784210400000,1217.200000,1619.000000,0.330102,0.000132,-0.000027,78.700000,-0.534359,78.165641,1.041283
1784214000000,1211.700000,1614.400000,0.332343,0.000006,-0.000010,77.800000,-0.558197,77.241803,1.965120
1784217600000,1207.500000,1605.000000,0.329193,-0.000190,0.000002,83.000000,-0.325847,82.674153,0.000000
1784221200000,1198.000000,1564.800000,0.306177,-0.000185,0.000006,113.700000,-0.094688,113.605312,0.000000
1784224800000,1190.900000,1564.600000,0.313796,-0.000253,0.000006,106.800000,0.216957,107.016957,6.588355
1784228400000,1182.500000,1528.300000,0.292431,0.000006,0.000006,134.700000,0.219118,134.919118,0.000000
1784232000000,1202.400000,1543.600000,0.283766,-0.000266,-0.000005,139.300000,0.531004,139.831004,0.000000
1784235600000,1202.400000,1562.000000,0.299069,0.000148,-0.000004,120.900000,0.347106,121.247106,18.583899
1784239200000,1174.100000,1539.500000,0.311217,0.000246,-0.000012,115.100000,0.041060,115.141060,24.689945
1784242800000,1181.000000,1527.900000,0.293734,-0.000450,0.000000,133.600000,0.572863,134.172863,5.658142
1784246400000,1188.700000,1543.100000,0.298141,-0.000188,-0.000008,126.100000,0.784681,126.884681,12.946323
1784250000000,1173.500000,1535.400000,0.308394,-0.000077,0.000006,118.600000,0.884538,119.484538,20.346466
1784253600000,1160.100000,1517.400000,0.307991,-0.000006,0.000006,123.200000,0.900764,124.100764,15.730240
1784257200000,1173.300000,1544.800000,0.316628,-0.000166,0.000007,109.000000,1.106984,110.106984,29.724021
1784260800000,1167.700000,1534.400000,0.314036,0.000234,0.000006,113.800000,0.843660,114.643660,25.187345
1784264400000,1146.000000,1484.900000,0.295724,-0.000080,0.000006,141.600000,0.944738,142.544738,0.000000
